# OWASP ZAP Rules Configuration
# https://www.zaproxy.org/docs/alerts/

# Rule ID	Rule Name	Action
90001	Script Passive Scan	IGNORE
90011	Charset Mismatch	IGNORE
90017	X-Backend-Header Information Leak	IGNORE
90019	Server Leaks Information via "X-Powered-By" HTTP Response Header Field	IGNORE
90020	Anti-clickjacking Header	IGNORE
90021	X-Content-Type-Options Header Missing	WARN
90022	Application Error Disclosure	IGNORE
90023	Username Hash Found	IGNORE
90024	Password Autocomplete in Browser	IGNORE
90025	Expression Language Injection	IGNORE
90026	HTTP Only Site	IGNORE
90027	Information Disclosure - Suspicious Comments	IGNORE
90028	Incomplete or No Cache-control Header Set	IGNORE
90029	SOAP Information Exposure	IGNORE
90030	Private IP Disclosure	IGNORE
90032	Viewstate without MAC Signature	IGNORE
90033	Loosely Scoped Cookie	IGNORE
90034	Cloud Metadata Potentially Exposed	IGNORE
90035	Silent JS Exception	IGNORE
10010	Cookie No HttpOnly Flag	IGNORE
10011	Cookie Without Secure Flag	IGNORE
10015	Cross-Site Scripting (Reflected)	FAIL
10016	Web Browser XSS Protection Not Enabled	WARN
10017	Cross-Domain JavaScript Source File Inclusion	IGNORE
10020	X-Frame-Options Header Not Set	WARN
10021	X-Content-Type-Options Header Missing	WARN
10023	Information Disclosure - Debug Error Messages	IGNORE
10024	Information Disclosure - Sensitive Information in URL	FAIL
10025	Information Disclosure - Sensitive Information in HTTP Referrer Header	IGNORE
10027	Information Disclosure - Suspicious Comments	IGNORE
10028	Open Redirect	FAIL
10029	Cookie Poisoning	FAIL
10030	User Controllable Charset	FAIL
10031	User Controllable HTML Element Attribute (Potential XSS)	FAIL
10032	Viewstate	IGNORE
10034	Heartbleed OpenSSL Vulnerability	FAIL
10035	Strict-Transport-Security Header Not Set	WARN
10036	Server Leaks Version Information via "Server" HTTP Response Header Field	IGNORE
10037	Server Leaks Information via "X-Powered-By" HTTP Response Header Field	IGNORE
10038	Content Security Policy (CSP) Header Not Set	WARN
10039	X-Backend-Header Information Leak	IGNORE
10040	Secure Pages Include Mixed Content	FAIL
10041	HTTP to HTTPS Insecure Transition in Form Post	FAIL
10042	HTTPS to HTTP Insecure Transition in Form Post	FAIL
10043	User Controllable JavaScript Event (XSS)	FAIL
10044	Big Redirect Detected (Potential Security Issue)	WARN
10045	Source Code Disclosure - /WEB-INF folder	FAIL
10046	HTTP Parameter Override	FAIL
10047	HTTPS Content on HTTPS Page	WARN
10048	Remote Code Execution - Shell Shock	FAIL
10050	Retrieved from Cache	IGNORE
10052	X-ChromeLogger-Data Header Information Leak	IGNORE
10054	Cookie Without SameSite Attribute	WARN
10055	CSP: Wildcard Directive	FAIL
10056	Password Autocomplete in Browser	IGNORE
10057	Username Hash Found	IGNORE
10061	X-Debug-Token Information Leak	IGNORE
10062	PII Disclosure	FAIL
10063	Permissions Policy Header Not Set	IGNORE
10094	Base64 Disclosure	IGNORE
10095	Backup File Disclosure	FAIL
10096	Timestamp Disclosure	IGNORE
10097	Hash Disclosure	IGNORE
10098	Cross-Domain Misconfiguration	FAIL
10099	Source Code Disclosure	FAIL
10101	Insufficient Authentication	FAIL
10102	Java Serialization Object	FAIL
10103	Image Location and Privacy Scanner	IGNORE
10104	User Agent Fuzzer	IGNORE
10105	Weak Authentication Method	FAIL
10106	HTTP Only Site	IGNORE
10107	Symmetric Encryption Weakness	FAIL
10108	Reverse Tabnabbing	FAIL
10109	Modern Web Application	IGNORE
10202	Absence of Anti-CSRF Tokens	FAIL
10203	HTTP Parameter Pollution	FAIL
10204	Primary Channel Insecurity	FAIL
10205	XSLT Injection	FAIL
10206	Email Injection	FAIL
10207	Content Sniffing	FAIL
10208	Parameter Tampering	FAIL
10209	Relative Path Overwrite	FAIL
10210	External Redirect	FAIL
10211	Content Spoofing	FAIL
10212	Session Fixation	FAIL
10213	HTTP Response Splitting	FAIL
10214	Advanced SQL Injection	FAIL
10215	Extracting Sensitive Data from Database	FAIL
10216	SQL Injection - SQLite	FAIL
10217	SOAP Action Spoofing	FAIL
10218	Cross Site Scripting (DOM Based)	FAIL
10219	SQL Injection - Hypersonic SQL	FAIL
10220	SQL Injection - Oracle	FAIL
10221	SQL Injection - PostgreSQL	FAIL
10222	Elmah Information Leak	IGNORE
10223	Trace.axd Information Leak	IGNORE
10224	SQL Injection - MySQL	FAIL
10225	SQL Injection - MS-SQL	FAIL
10226	SQL Injection	FAIL
10227	Information Disclosure - Stack Trace	IGNORE
10228	ELMAH Information Leak	IGNORE
10229	Trace.axd Information Leak	IGNORE
10230	Sub Resource Integrity Attribute Missing	WARN
10231	ASP.NET Configuration Error	IGNORE
10232	ASP.NET Trace Information	IGNORE
10233	Wordpress User Enumeration	IGNORE
10234	Content Security Policy	FAIL
10235	Out of Band XSS	FAIL
10236	External Redirect	FAIL
10237	Source Code Disclosure - SVN	FAIL
10238	Source Code Disclosure - Git	FAIL
10239	External Redirect	FAIL
